START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/25,01:05 PM,01:05 PM,Rays at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: 680 AM/93.7 FM The Fan- WIFN 1340 AM/103.7FM- Braves Radio Network",02/23/25,02/23/25,04:05 PM,04:05 PM,FALSE,TRUE,02/23/25,12:05 PM,12:05 PM,FREE,BUSY
02/25/25,01:05 PM,01:05 PM,Red Sox at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",02/25/25,02/25/25,04:05 PM,04:05 PM,FALSE,TRUE,02/25/25,12:05 PM,12:05 PM,FREE,BUSY
02/26/25,01:05 PM,01:05 PM,Pirates at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",02/26/25,02/26/25,04:05 PM,04:05 PM,FALSE,TRUE,02/26/25,12:05 PM,12:05 PM,FREE,BUSY
03/01/25,01:05 PM,01:05 PM,Blue Jays at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM- Braves Radio Network",03/01/25,03/01/25,04:05 PM,04:05 PM,FALSE,TRUE,03/01/25,12:05 PM,12:05 PM,FREE,BUSY
03/02/25,01:05 PM,01:05 PM,Yankees at Braves,CoolToday Park - North Port,"Local TV: FanDuel Sports Southeast- MLBN (out-of-market only) ----- Local Radio: 680 AM/93.7 FM The Fan- Braves Radio Network",03/02/25,03/02/25,04:05 PM,04:05 PM,FALSE,TRUE,03/02/25,12:05 PM,12:05 PM,FREE,BUSY
03/04/25,01:05 PM,01:05 PM,Twins at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",03/04/25,03/04/25,04:05 PM,04:05 PM,FALSE,TRUE,03/04/25,12:05 PM,12:05 PM,FREE,BUSY
03/06/25,06:05 PM,06:05 PM,Marlins at Braves,CoolToday Park - North Port,"Local TV: Gray TV ----- Local Radio: 680 AM/93.7 FM The Fan",03/06/25,03/06/25,09:05 PM,09:05 PM,FALSE,TRUE,03/06/25,05:05 PM,05:05 PM,FREE,BUSY
03/08/25,01:05 PM,01:05 PM,Pirates at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM- Braves Radio Network",03/08/25,03/08/25,04:05 PM,04:05 PM,FALSE,TRUE,03/08/25,12:05 PM,12:05 PM,FREE,BUSY
03/10/25,01:05 PM,01:05 PM,Rays at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",03/10/25,03/10/25,04:05 PM,04:05 PM,FALSE,TRUE,03/10/25,12:05 PM,12:05 PM,FREE,BUSY
03/11/25,01:05 PM,01:05 PM,Tigers at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",03/11/25,03/11/25,04:05 PM,04:05 PM,FALSE,TRUE,03/11/25,12:05 PM,12:05 PM,FREE,BUSY
03/14/25,01:05 PM,01:05 PM,Nationals at Braves,CoolToday Park - North Port,"Local TV: MLB Video ----- Local Radio: WIFN 1340 AM/103.7FM",03/14/25,03/14/25,04:05 PM,04:05 PM,FALSE,TRUE,03/14/25,12:05 PM,12:05 PM,FREE,BUSY
03/15/25,06:05 PM,06:05 PM,Twins at Braves,CoolToday Park - North Port,"Local TV: Gray TV- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- Braves Radio Network",03/15/25,03/15/25,09:05 PM,09:05 PM,FALSE,TRUE,03/15/25,05:05 PM,05:05 PM,FREE,BUSY
03/17/25,01:05 PM,01:05 PM,Red Sox at Braves,CoolToday Park - North Port,"Local TV: FanDuel Sports Southeast ----- Local Radio: WIFN 1340 AM/103.7FM",03/17/25,03/17/25,04:05 PM,04:05 PM,FALSE,TRUE,03/17/25,12:05 PM,12:05 PM,FREE,BUSY
03/20/25,01:05 PM,01:05 PM,Phillies at Braves,CoolToday Park - North Port,"Local TV: FanDuel Sports Southeast- MLB Network ----- Local Radio: WIFN 1340 AM/103.7FM",03/20/25,03/20/25,04:05 PM,04:05 PM,FALSE,TRUE,03/20/25,12:05 PM,12:05 PM,FREE,BUSY
03/23/25,01:05 PM,01:05 PM,Orioles at Braves,CoolToday Park - North Port,"Local TV: FanDuel Sports South- MLBN (out-of-market only) ----- Local Radio: 680 AM/93.7 FM The Fan- Braves Radio Network",03/23/25,03/23/25,04:05 PM,04:05 PM,FALSE,TRUE,03/23/25,12:05 PM,12:05 PM,FREE,BUSY
04/04/25,07:15 PM,07:15 PM,Marlins at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast- Gray TV ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/04/25,04/04/25,10:15 PM,10:15 PM,FALSE,TRUE,04/04/25,06:15 PM,06:15 PM,FREE,BUSY
04/05/25,07:15 PM,07:15 PM,Marlins at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan",04/05/25,04/05/25,10:15 PM,10:15 PM,FALSE,TRUE,04/05/25,06:15 PM,06:15 PM,FREE,BUSY
04/06/25,01:35 PM,01:35 PM,Marlins at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/06/25,04/06/25,04:35 PM,04:35 PM,FALSE,TRUE,04/06/25,12:35 PM,12:35 PM,FREE,BUSY
04/08/25,07:15 PM,07:15 PM,Phillies at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast- TBS (out-of-market only) ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/08/25,04/08/25,10:15 PM,10:15 PM,FALSE,TRUE,04/08/25,06:15 PM,06:15 PM,FREE,BUSY
04/09/25,07:15 PM,07:15 PM,Phillies at Braves,Truist Park - Atlanta,"Local TV: MLBN- FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/09/25,04/09/25,10:15 PM,10:15 PM,FALSE,TRUE,04/09/25,06:15 PM,06:15 PM,FREE,BUSY
04/10/25,07:15 PM,07:15 PM,Phillies at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/10/25,04/10/25,10:15 PM,10:15 PM,FALSE,TRUE,04/10/25,06:15 PM,06:15 PM,FREE,BUSY
04/18/25,07:15 PM,07:15 PM,Twins at Braves,Truist Park - Atlanta,"Local TV: Apple TV+ ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/18/25,04/18/25,10:15 PM,10:15 PM,FALSE,TRUE,04/18/25,06:15 PM,06:15 PM,FREE,BUSY
04/19/25,07:15 PM,07:15 PM,Twins at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan",04/19/25,04/19/25,10:15 PM,10:15 PM,FALSE,TRUE,04/19/25,06:15 PM,06:15 PM,FREE,BUSY
04/20/25,01:35 PM,01:35 PM,Twins at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/20/25,04/20/25,04:35 PM,04:35 PM,FALSE,TRUE,04/20/25,12:35 PM,12:35 PM,FREE,BUSY
04/21/25,07:15 PM,07:15 PM,Cardinals at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/21/25,04/21/25,10:15 PM,10:15 PM,FALSE,TRUE,04/21/25,06:15 PM,06:15 PM,FREE,BUSY
04/22/25,07:15 PM,07:15 PM,Cardinals at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",04/22/25,04/22/25,10:15 PM,10:15 PM,FALSE,TRUE,04/22/25,06:15 PM,06:15 PM,FREE,BUSY
04/23/25,12:15 PM,12:15 PM,Cardinals at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast ----- Local Radio: 680 AM/93.7 FM The Fan",04/23/25,04/23/25,03:15 PM,03:15 PM,FALSE,TRUE,04/23/25,11:15 AM,11:15 AM,FREE,BUSY
05/02/25,07:15 PM,07:15 PM,Dodgers at Braves,Truist Park - Atlanta,"Local TV: FanDuel Sports South- FanDuel Sports Southeast- Gray TV ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",05/02/25,05/02/25,10:15 PM,10:15 PM,FALSE,TRUE,05/02/25,06:15 PM,06:15 PM,FREE,BUSY
05/03/25,07:15 PM,07:15 PM,Dodgers at Braves,Truist Park - Atlanta,"Local TV: FOX ----- Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",05/03/25,05/03/25,10:15 PM,10:15 PM,FALSE,TRUE,05/03/25,06:15 PM,06:15 PM,FREE,BUSY
05/04/25,07:10 PM,07:10 PM,Dodgers at Braves,Truist Park - Atlanta,"Local Radio: 680 AM/93.7 FM The Fan- La Mejor 1600/1460/1130 AM",05/04/25,05/04/25,10:10 PM,10:10 PM,FALSE,TRUE,05/04/25,06:10 PM,06:10 PM,FREE,BUSY
